784	 "Rediff.com India Limited"	1
275	 "Exa Networks Limited"	0
730	 "Grande Communications"	2
401	 "YouTube, Inc."	9
762	 "Technotop Internet BV"	0
260	 "Hivane"	0
304	 "NetConnex"	0
412	 "WestCoast Communications, LLC."	0
848	 "Scarlet Telecom B.V."	0
987	 "Node4 Ltd"	0
924	 "Netcetera AG"	3
271	 "GENERAL COUNCIL ON FINANCE AND ADMINISTRATION OF THE UNITED METHODIST CHURCH"	0
177	 "CENIC / CalREN"	0
353	 "Nexicom Inc."	5
927	 "acdalis informatik"	0
815	 "IP-Max SA"	0
797	 "A1 BG EAD"	0
736	 "Verizon Digital Media Services (EdgeCast Networks)"	0
841	 "Clusters KG"	0
717	 "Equinix Connect - EMEA"	0
787	 "Vulcan Inc."	0
675	 "detebe"	0
395	 "BBned"	0
598	 "Dailymotion"	5
203	 "ViaWest Internet Services"	1
255	 "Imagine Communications Group Ltd"	0
597	 "Universal Telecom, Inc."	0
645	 "BelWue"	2
325	 "DGC One AB"	0
892	 "Network Design GmbH"	0
389	 "Vermont Telephone"	1
932	 "Antares Kommunikationstechnik AG (antanet.ch)"	1
518	 "Ipercast"	0
934	 "Johannes Gutenberg-Universitaet Mainz"	3
678	 "We Dare"	26
557	 "NIC.BR"	0
967	 "CIFNet, Inc."	4
331	 "Telxius Cable"	0
2	 "Akamai Technologies"	153
89	 "EGate Networks Inc."	0
463	 "Africa Online Operations (Mauritius) Ltd."	0
573	 "Forcepoint - AMER"	1
977	 "UbuntuNET Alliance"	0
296	 "Silicon Valley Colocation"	0
158	 "Hurricane Electric"	0
727	 "Wave Division Holdings"	0
484	 "Singapore Telecommunications Limited"	0
273	 "KPN"	4
615	 "Applied Operations"	0
661	 "Cortland Communications"	0
617	 "RTLNederland Interactief B.V"	6
88	 "Convoke Communications Corp"	2
641	 "ISP Solution UG"	0
936	 "SMITCOMS"	0
903	 "Peak Web Hosting"	0
607	 "FidoNet"	6
117	 "BSO Network Solutions"	0
775	 "Netbenefit"	0
619	 "comtrance GmbH"	0
425	 "DMA computer services"	0
997	 "TigoUne"	8
59	 "Claranet"	0
709	 "VEON Group"	6
986	 "King County I-NET"	9
834	 "netplace Telematic GmbH"	3
62	 "Free SAS"	0
456	 "Pilosoft Inc."	2
959	 "PlusServer GmbH"	6
352	 "Bahnhof"	0
476	 "PoBox Hosting Ltd"	0
772	 "Mountain Cablevision"	2
679	 "SpriteLink International Carrier"	0
512	 "DE-CIX Frankfurt Route Servers"	0
377	 "Public Internet Ltd"	0
613	 "Kingston Communications PLC"	3
707	 "Institute of Molecular and Cell Biology, Singapore"	0
416	 "XMission"	2
745	 "GameRail Corp"	0
133	 "Namecheap"	0
361	 "AT&T US - 7018"	0
918	 "interscholz Internet Services GmbH  & Co. KG"	0
957	 "MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A."	0
43	 "BT Ireland"	0
211	 "Videotron AS13571"	0
324	 "eBay Inc."	0
327	 "iunxi BV"	5
60	 "Your Communications/THUS"	0
907	 "Conacom GmbH"	0
833	 "ccn corporate communication networks GmbH"	0
52	 "Hotlinks Internet Services"	0
344	 "Electric Lightwave"	0
804	 "GoGrid"	0
485	 "SFR Business Team"	0
492	 "Equinix Connect"	0
227	 "Digital West Networks, Inc."	0
569	 "Trit Networks"	3
970	 "Perspektiv Bredband AB"	0
972	 "NTT PC Communications (InfoSphere)"	7
572	 "Clearleap"	4
735	 "velia.net Internetdienste GmbH"	0
337	 "DIG Digitale Medienberatungs- und Produktions- GmbH"	0
845	 "NPO (Nederlandse Publieke Omroep)"	0
963	 "General Communications Incorp"	0
580	 "Biznet Networks"	3
723	 "murphx Innovative Solutions Ltd"	0
166	 "Rogers Cable"	1
688	 "DATAK"	0
392	 "Neuronnexion"	0
431	 "Choopa, LLC"	0
637	 "Localphone Limited"	1
266	 "Multiplay (UK) Ltd [GB]"	0
191	 "Xeex Communications"	0
253	 "Blackfoot Communications Inc"	0
701	 "GlobalConnect a/s"	0
583	 "BandCon"	0
441	 "MuntInternet"	0
961	 "Telekom Romania Communications S.A."	4
979	 "Cogeco Cable Canada Inc"	96
750	 "Coreix Limited"	0
277	 "Web Age Ltd"	0
478	 "Florida LambdaRail LLC"	3
588	 "Computerline Group"	0
541	 "Bart Champagne"	25
590	 "Madison Tyler, LLC"	2
673	 "Atmosera"	2
814	 "PCCW Global"	0
917	 "antilo AG"	3
170	 "The Higher Technology (THT.net)"	7
531	 "mmc kommunikationstechnologie gmbh"	0
602	 "Access Integrated Technologies (Ezzi.net)"	0
440	 "NTT Communications Corporation (OCN)"	0
388	 "Elro Erhverv A/S"	4
